,prices
2024-03-04 00:00:00,72.81
2024-03-04 00:15:00,69.63
2024-03-04 00:30:00,62.87
2024-03-04 00:45:00,61.71
2024-03-04 01:00:00,72.73
2024-03-04 01:15:00,68.51
2024-03-04 01:30:00,58.06
2024-03-04 01:45:00,61.74
2024-03-04 02:00:00,64.67
2024-03-04 02:15:00,64.63
2024-03-04 02:30:00,66.45
2024-03-04 02:45:00,64.29
2024-03-04 03:00:00,63.81
2024-03-04 03:15:00,67.52
2024-03-04 03:30:00,69.48
2024-03-04 03:45:00,65.68
2024-03-04 04:00:00,66.71
2024-03-04 04:15:00,67.49
2024-03-04 04:30:00,65.69
2024-03-04 04:45:00,76.7
2024-03-04 05:00:00,52.84
2024-03-04 05:15:00,68.01
2024-03-04 05:30:00,88.31
2024-03-04 05:45:00,100.43
2024-03-04 06:00:00,70.19
2024-03-04 06:15:00,84.49
2024-03-04 06:30:00,96.23
2024-03-04 06:45:00,104.35
2024-03-04 07:00:00,121.14
2024-03-04 07:15:00,102.34
2024-03-04 07:30:00,87.27
2024-03-04 07:45:00,81.69
2024-03-04 08:00:00,104.37
2024-03-04 08:15:00,98.56
2024-03-04 08:30:00,103.94
2024-03-04 08:45:00,92.33
2024-03-04 09:00:00,99.84
2024-03-04 09:15:00,87.3
2024-03-04 09:30:00,78.16
2024-03-04 09:45:00,73.12
2024-03-04 10:00:00,92.43
2024-03-04 10:15:00,89.19
2024-03-04 10:30:00,93.58
2024-03-04 10:45:00,80.38
2024-03-04 11:00:00,79.5
2024-03-04 11:15:00,71.93
2024-03-04 11:30:00,69.8
2024-03-04 11:45:00,66.2
2024-03-04 12:00:00,78.35
2024-03-04 12:15:00,91.93
2024-03-04 12:30:00,77.27
2024-03-04 12:45:00,71.96
2024-03-04 13:00:00,68.65
2024-03-04 13:15:00,71.51
2024-03-04 13:30:00,71.21
2024-03-04 13:45:00,74.29
2024-03-04 14:00:00,66.63
2024-03-04 14:15:00,75.07
2024-03-04 14:30:00,83.87
2024-03-04 14:45:00,95.89
2024-03-04 15:00:00,70.48
2024-03-04 15:15:00,79.78
2024-03-04 15:30:00,88.18
2024-03-04 15:45:00,103.77
2024-03-04 16:00:00,61.69
