,prices
2024-06-10 00:00:00,85.49
2024-06-10 00:15:00,84.22
2024-06-10 00:30:00,82.76
2024-06-10 00:45:00,80.22
2024-06-10 01:00:00,83.06
2024-06-10 01:15:00,79.47
2024-06-10 01:30:00,77.89
2024-06-10 01:45:00,79.09
2024-06-10 02:00:00,79.05
2024-06-10 02:15:00,84.46
2024-06-10 02:30:00,85.92
2024-06-10 02:45:00,91.3
2024-06-10 03:00:00,82.07
2024-06-10 03:15:00,86.52
2024-06-10 03:30:00,94.45
2024-06-10 03:45:00,135.34
2024-06-10 04:00:00,116.67
2024-06-10 04:15:00,164.38
2024-06-10 04:30:00,166.33
2024-06-10 04:45:00,198.17
2024-06-10 05:00:00,2084.23
2024-06-10 05:15:00,1756.56
2024-06-10 05:30:00,847.25
2024-06-10 05:45:00,324.45
2024-06-10 06:00:00,2901.7
2024-06-10 06:15:00,901.2
2024-06-10 06:30:00,257.42
2024-06-10 06:45:00,115.86
2024-06-10 07:00:00,666.06
2024-06-10 07:15:00,184.6
2024-06-10 07:30:00,86.97
2024-06-10 07:45:00,71.01
2024-06-10 08:00:00,146.27
2024-06-10 08:15:00,110.14
2024-06-10 08:30:00,94.31
2024-06-10 08:45:00,91.45
2024-06-10 09:00:00,83.99
2024-06-10 09:15:00,78.68
2024-06-10 09:30:00,75.82
2024-06-10 09:45:00,71.82
2024-06-10 10:00:00,78.6
2024-06-10 10:15:00,74.07
2024-06-10 10:30:00,66.86
2024-06-10 10:45:00,63.28
2024-06-10 11:00:00,73.05
2024-06-10 11:15:00,62.67
2024-06-10 11:30:00,62.61
2024-06-10 11:45:00,52.28
2024-06-10 12:00:00,50.91
2024-06-10 12:15:00,51.25
2024-06-10 12:30:00,53.57
2024-06-10 12:45:00,64.56
2024-06-10 13:00:00,45.58
2024-06-10 13:15:00,56.0
2024-06-10 13:30:00,72.9
2024-06-10 13:45:00,80.17
2024-06-10 14:00:00,44.35
2024-06-10 14:15:00,61.06
2024-06-10 14:30:00,69.08
2024-06-10 14:45:00,79.13
2024-06-10 15:00:00,64.32
2024-06-10 15:15:00,80.56
2024-06-10 15:30:00,93.61
2024-06-10 15:45:00,97.93
2024-06-10 16:00:00,78.61
2024-06-10 16:15:00,86.28
2024-06-10 16:30:00,91.25
2024-06-10 16:45:00,107.24
2024-06-10 17:00:00,86.46
2024-06-10 17:15:00,90.59
2024-06-10 17:30:00,95.08
2024-06-10 17:45:00,115.26
2024-06-10 18:00:00,116.98
2024-06-10 18:15:00,108.3
2024-06-10 18:30:00,94.05
2024-06-10 18:45:00,89.38
2024-06-10 19:00:00,101.49
2024-06-10 19:15:00,90.87
2024-06-10 19:30:00,80.94
2024-06-10 19:45:00,78.05
2024-06-10 20:00:00,90.37
2024-06-10 20:15:00,78.21
2024-06-10 20:30:00,84.0
2024-06-10 20:45:00,79.86
2024-06-10 21:00:00,89.05
2024-06-10 21:15:00,74.77
2024-06-10 21:30:00,64.22
2024-06-10 21:45:00,57.13
2024-06-10 22:00:00,65.75
2024-06-10 22:15:00,63.48
2024-06-10 22:30:00,52.23
2024-06-10 22:45:00,53.04
2024-06-10 23:00:00,60.31
2024-06-10 23:15:00,52.78
2024-06-10 23:30:00,53.19
2024-06-10 23:45:00,40.97
2024-06-11 00:00:00,60.13
2024-06-11 00:15:00,54.58
2024-06-11 00:30:00,50.03
2024-06-11 00:45:00,43.34
2024-06-11 01:00:00,46.75
2024-06-11 01:15:00,45.08
2024-06-11 01:30:00,51.01
2024-06-11 01:45:00,49.72
2024-06-11 02:00:00,42.94
2024-06-11 02:15:00,48.66
2024-06-11 02:30:00,57.64
2024-06-11 02:45:00,62.29
2024-06-11 03:00:00,46.98
2024-06-11 03:15:00,54.14
2024-06-11 03:30:00,62.44
2024-06-11 03:45:00,71.76
2024-06-11 04:00:00,54.85
2024-06-11 04:15:00,69.27
2024-06-11 04:30:00,90.98
2024-06-11 04:45:00,98.75
2024-06-11 05:00:00,98.41
2024-06-11 05:15:00,90.71
2024-06-11 05:30:00,80.41
2024-06-11 05:45:00,68.31
2024-06-11 06:00:00,108.47
2024-06-11 06:15:00,81.73
2024-06-11 06:30:00,61.26
2024-06-11 06:45:00,45.95
2024-06-11 07:00:00,88.02
2024-06-11 07:15:00,69.82
2024-06-11 07:30:00,64.54
2024-06-11 07:45:00,49.83
2024-06-11 08:00:00,86.87
2024-06-11 08:15:00,76.99
2024-06-11 08:30:00,66.08
2024-06-11 08:45:00,48.2
2024-06-11 09:00:00,77.1
2024-06-11 09:15:00,70.43
