,prices
2024-06-03 00:00:00,102.21
2024-06-03 00:15:00,87.46
2024-06-03 00:30:00,84.18
2024-06-03 00:45:00,82.47
2024-06-03 01:00:00,84.76
2024-06-03 01:15:00,84.32
2024-06-03 01:30:00,89.88
2024-06-03 01:45:00,90.72
2024-06-03 02:00:00,81.02
2024-06-03 02:15:00,83.21
2024-06-03 02:30:00,90.09
2024-06-03 02:45:00,93.67
2024-06-03 03:00:00,76.26
2024-06-03 03:15:00,87.03
2024-06-03 03:30:00,96.14
2024-06-03 03:45:00,117.59
2024-06-03 04:00:00,103.48
2024-06-03 04:15:00,114.58
2024-06-03 04:30:00,134.36
2024-06-03 04:45:00,156.27
2024-06-03 05:00:00,218.88
2024-06-03 05:15:00,273.7
2024-06-03 05:30:00,381.18
2024-06-03 05:45:00,496.57
2024-06-03 06:00:00,800.69
2024-06-03 06:15:00,801.84
2024-06-03 06:30:00,920.19
2024-06-03 06:45:00,797.52
2024-06-03 07:00:00,1483.83
2024-06-03 07:15:00,1424.06
2024-06-03 07:30:00,2260.88
2024-06-03 07:45:00,2363.08
2024-06-03 08:00:00,1608.63
2024-06-03 08:15:00,2347.38
2024-06-03 08:30:00,1501.41
2024-06-03 08:45:00,1019.75
2024-06-03 09:00:00,962.19
2024-06-03 09:15:00,462.07
2024-06-03 09:30:00,288.05
2024-06-03 09:45:00,255.37
2024-06-03 10:00:00,322.84
2024-06-03 10:15:00,202.68
2024-06-03 10:30:00,178.61
2024-06-03 10:45:00,165.27
2024-06-03 11:00:00,240.74
2024-06-03 11:15:00,178.1
2024-06-03 11:30:00,104.92
2024-06-03 11:45:00,88.05
2024-06-03 12:00:00,120.76
2024-06-03 12:15:00,105.56
2024-06-03 12:30:00,94.1
2024-06-03 12:45:00,88.32
2024-06-03 13:00:00,98.83
2024-06-03 13:15:00,102.1
2024-06-03 13:30:00,104.55
2024-06-03 13:45:00,110.97
2024-06-03 14:00:00,93.8
2024-06-03 14:15:00,103.41
2024-06-03 14:30:00,129.9
2024-06-03 14:45:00,146.52
2024-06-03 15:00:00,96.89
2024-06-03 15:15:00,117.74
2024-06-03 15:30:00,188.6
2024-06-03 15:45:00,296.6
2024-06-03 16:00:00,153.57
2024-06-03 16:15:00,225.35
2024-06-03 16:30:00,307.96
2024-06-03 16:45:00,438.92
2024-06-03 17:00:00,254.77
2024-06-03 17:15:00,316.08
2024-06-03 17:30:00,507.97
2024-06-03 17:45:00,1160.85
2024-06-03 18:00:00,420.51
2024-06-03 18:15:00,402.6
2024-06-03 18:30:00,483.2
2024-06-03 18:45:00,577.69
2024-06-03 19:00:00,399.48
2024-06-03 19:15:00,275.6
2024-06-03 19:30:00,212.25
2024-06-03 19:45:00,205.87
2024-06-03 20:00:00,249.78
2024-06-03 20:15:00,160.24
2024-06-03 20:30:00,157.39
2024-06-03 20:45:00,128.23
2024-06-03 21:00:00,148.01
2024-06-03 21:15:00,114.58
