,prices
2024-12-09 00:00:00,80.4
2024-12-09 00:15:00,67.58
2024-12-09 00:30:00,60.95
2024-12-09 00:45:00,48.47
2024-12-09 01:00:00,66.18
2024-12-09 01:15:00,58.74
2024-12-09 01:30:00,48.06
2024-12-09 01:45:00,39.71
2024-12-09 02:00:00,58.96
2024-12-09 02:15:00,53.17
2024-12-09 02:30:00,51.23
2024-12-09 02:45:00,50.68
2024-12-09 03:00:00,47.14
2024-12-09 03:15:00,50.21
2024-12-09 03:30:00,65.02
2024-12-09 03:45:00,63.93
2024-12-09 04:00:00,60.83
2024-12-09 04:15:00,53.25
2024-12-09 04:30:00,66.36
2024-12-09 04:45:00,77.34
2024-12-09 05:00:00,57.1
2024-12-09 05:15:00,78.54
2024-12-09 05:30:00,84.46
2024-12-09 05:45:00,103.83
2024-12-09 06:00:00,81.39
2024-12-09 06:15:00,89.67
2024-12-09 06:30:00,106.75
2024-12-09 06:45:00,111.8
2024-12-09 07:00:00,110.08
2024-12-09 07:15:00,121.84
2024-12-09 07:30:00,122.6
2024-12-09 07:45:00,124.76
2024-12-09 08:00:00,122.22
2024-12-09 08:15:00,124.24
2024-12-09 08:30:00,127.23
2024-12-09 08:45:00,126.19
2024-12-09 09:00:00,136.9
2024-12-09 09:15:00,149.81
2024-12-09 09:30:00,153.84
2024-12-09 09:45:00,144.96
2024-12-09 10:00:00,137.92
2024-12-09 10:15:00,133.8
2024-12-09 10:30:00,122.81
2024-12-09 10:45:00,121.75
2024-12-09 11:00:00,134.32
2024-12-09 11:15:00,129.13
2024-12-09 11:30:00,134.95
2024-12-09 11:45:00,133.61
2024-12-09 12:00:00,134.24
2024-12-09 12:15:00,126.13
2024-12-09 12:30:00,120.15
2024-12-09 12:45:00,113.61
2024-12-09 13:00:00,116.9
2024-12-09 13:15:00,117.04
2024-12-09 13:30:00,116.23
2024-12-09 13:45:00,118.09
2024-12-09 14:00:00,123.77
2024-12-09 14:15:00,120.63
2024-12-09 14:30:00,121.72
2024-12-09 14:45:00,121.48
