,prices
2024-03-11 00:00:00,65.1
2024-03-11 00:15:00,65.26
2024-03-11 00:30:00,62.25
2024-03-11 00:45:00,60.08
2024-03-11 01:00:00,64.87
2024-03-11 01:15:00,67.8
2024-03-11 01:30:00,70.29
2024-03-11 01:45:00,69.58
2024-03-11 02:00:00,57.8
2024-03-11 02:15:00,60.02
2024-03-11 02:30:00,63.55
2024-03-11 02:45:00,66.95
2024-03-11 03:00:00,54.75
2024-03-11 03:15:00,57.84
2024-03-11 03:30:00,58.45
2024-03-11 03:45:00,65.75
2024-03-11 04:00:00,54.08
2024-03-11 04:15:00,60.65
2024-03-11 04:30:00,68.11
2024-03-11 04:45:00,80.01
2024-03-11 05:00:00,56.39
2024-03-11 05:15:00,79.27
2024-03-11 05:30:00,89.06
2024-03-11 05:45:00,93.28
2024-03-11 06:00:00,80.57
2024-03-11 06:15:00,85.57
2024-03-11 06:30:00,93.24
2024-03-11 06:45:00,87.91
2024-03-11 07:00:00,89.34
2024-03-11 07:15:00,80.37
2024-03-11 07:30:00,71.86
2024-03-11 07:45:00,62.63
2024-03-11 08:00:00,91.33
2024-03-11 08:15:00,80.79
2024-03-11 08:30:00,73.06
2024-03-11 08:45:00,59.99
2024-03-11 09:00:00,87.55
2024-03-11 09:15:00,74.15
2024-03-11 09:30:00,60.72
2024-03-11 09:45:00,54.79
2024-03-11 10:00:00,67.27
2024-03-11 10:15:00,68.95
2024-03-11 10:30:00,74.43
2024-03-11 10:45:00,73.33
2024-03-11 11:00:00,62.59
2024-03-11 11:15:00,62.42
2024-03-11 11:30:00,61.44
2024-03-11 11:45:00,60.85
2024-03-11 12:00:00,61.18
2024-03-11 12:15:00,64.19
2024-03-11 12:30:00,68.71
2024-03-11 12:45:00,71.08
2024-03-11 13:00:00,63.98
2024-03-11 13:15:00,83.7
2024-03-11 13:30:00,80.71
2024-03-11 13:45:00,82.55
2024-03-11 14:00:00,62.83
2024-03-11 14:15:00,74.08
2024-03-11 14:30:00,82.33
2024-03-11 14:45:00,95.47
2024-03-11 15:00:00,61.8
2024-03-11 15:15:00,78.41
2024-03-11 15:30:00,96.68
2024-03-11 15:45:00,109.09
2024-03-11 16:00:00,74.08
2024-03-11 16:15:00,90.26
2024-03-11 16:30:00,114.84
2024-03-11 16:45:00,157.77
2024-03-11 17:00:00,109.3
2024-03-11 17:15:00,126.84
2024-03-11 17:30:00,157.35
2024-03-11 17:45:00,174.49
2024-03-11 18:00:00,175.28
2024-03-11 18:15:00,118.75
2024-03-11 18:30:00,100.31
2024-03-11 18:45:00,94.49
2024-03-11 19:00:00,146.17
2024-03-11 19:15:00,103.38
2024-03-11 19:30:00,89.88
2024-03-11 19:45:00,82.64
2024-03-11 20:00:00,106.75
2024-03-11 20:15:00,96.57
2024-03-11 20:30:00,85.08
2024-03-11 20:45:00,77.91
2024-03-11 21:00:00,98.12
2024-03-11 21:15:00,89.13
2024-03-11 21:30:00,87.7
2024-03-11 21:45:00,103.23
2024-03-11 22:00:00,97.59
2024-03-11 22:15:00,90.7
2024-03-11 22:30:00,80.28
2024-03-11 22:45:00,71.46
2024-03-11 23:00:00,92.15
2024-03-11 23:15:00,77.75
2024-03-11 23:30:00,71.43
2024-03-11 23:45:00,64.17
2024-03-12 00:00:00,74.29
2024-03-12 00:15:00,68.33
2024-03-12 00:30:00,68.24
2024-03-12 00:45:00,62.54
2024-03-12 01:00:00,77.9
2024-03-12 01:15:00,69.62
2024-03-12 01:30:00,61.18
2024-03-12 01:45:00,62.37
2024-03-12 02:00:00,66.18
2024-03-12 02:15:00,63.04
2024-03-12 02:30:00,61.65
2024-03-12 02:45:00,63.43
2024-03-12 03:00:00,62.28
2024-03-12 03:15:00,62.95
