,prices
2024-01-01 00:00:00,6.13
2024-01-01 00:15:00,-0.87
2024-01-01 00:30:00,-4.22
2024-01-01 00:45:00,-6.53
2024-01-01 01:00:00,8.55
2024-01-01 01:15:00,3.39
2024-01-01 01:30:00,-1.32
2024-01-01 01:45:00,-2.66
2024-01-01 02:00:00,9.09
2024-01-01 02:15:00,5.5
2024-01-01 02:30:00,2.23
2024-01-01 02:45:00,3.58
2024-01-01 03:00:00,9.76
2024-01-01 03:15:00,7.86
2024-01-01 03:30:00,10.32
2024-01-01 03:45:00,7.52
2024-01-01 04:00:00,8.67
2024-01-01 04:15:00,8.95
2024-01-01 04:30:00,22.03
2024-01-01 04:45:00,22.12
2024-01-01 05:00:00,-1.7
2024-01-01 05:15:00,3.23
2024-01-01 05:30:00,8.25
2024-01-01 05:45:00,12.0
2024-01-01 06:00:00,-4.72
2024-01-01 06:15:00,11.08
2024-01-01 06:30:00,20.93
2024-01-01 06:45:00,31.36
2024-01-01 07:00:00,6.96
2024-01-01 07:15:00,9.14
2024-01-01 07:30:00,12.23
2024-01-01 07:45:00,9.79
2024-01-01 08:00:00,9.45
2024-01-01 08:15:00,7.23
2024-01-01 08:30:00,1.03
2024-01-01 08:45:00,-2.96
2024-01-01 09:00:00,10.49
2024-01-01 09:15:00,5.48
2024-01-01 09:30:00,1.41
2024-01-01 09:45:00,-8.36
2024-01-01 10:00:00,8.58
2024-01-01 10:15:00,3.12
2024-01-01 10:30:00,2.53
2024-01-01 10:45:00,1.38
2024-01-01 11:00:00,5.33
2024-01-01 11:15:00,3.34
2024-01-01 11:30:00,-1.88
2024-01-01 11:45:00,-6.15
2024-01-01 12:00:00,-9.01
2024-01-01 12:15:00,-9.02
2024-01-01 12:30:00,-6.78
2024-01-01 12:45:00,2.0
2024-01-01 13:00:00,-5.83
2024-01-01 13:15:00,17.33
2024-01-01 13:30:00,36.84
2024-01-01 13:45:00,43.58
2024-01-01 14:00:00,10.59
2024-01-01 14:15:00,31.53
2024-01-01 14:30:00,49.69
2024-01-01 14:45:00,54.02
2024-01-01 15:00:00,26.19
2024-01-01 15:15:00,47.37
2024-01-01 15:30:00,60.13
2024-01-01 15:45:00,58.47
2024-01-01 16:00:00,44.57
2024-01-01 16:15:00,50.9
2024-01-01 16:30:00,54.19
2024-01-01 16:45:00,58.47
2024-01-01 17:00:00,54.15
2024-01-01 17:15:00,56.37
2024-01-01 17:30:00,59.3
2024-01-01 17:45:00,55.75
2024-01-01 18:00:00,63.53
2024-01-01 18:15:00,55.31
2024-01-01 18:30:00,47.26
2024-01-01 18:45:00,37.02
2024-01-01 19:00:00,53.25
2024-01-01 19:15:00,46.51
2024-01-01 19:30:00,35.82
2024-01-01 19:45:00,30.81
2024-01-01 20:00:00,51.68
2024-01-01 20:15:00,48.33
2024-01-01 20:30:00,42.57
2024-01-01 20:45:00,30.31
2024-01-01 21:00:00,47.99
2024-01-01 21:15:00,37.22
2024-01-01 21:30:00,21.38
2024-01-01 21:45:00,17.47
2024-01-01 22:00:00,34.57
2024-01-01 22:15:00,23.63
2024-01-01 22:30:00,15.84
2024-01-01 22:45:00,11.36
2024-01-01 23:00:00,34.89
2024-01-01 23:15:00,26.9
2024-01-01 23:30:00,14.02
2024-01-01 23:45:00,12.46
2024-01-02 00:00:00,23.44
2024-01-02 00:15:00,14.97
2024-01-02 00:30:00,14.23
2024-01-02 00:45:00,7.31
2024-01-02 01:00:00,22.5
2024-01-02 01:15:00,10.16
2024-01-02 01:30:00,8.97
2024-01-02 01:45:00,13.27
2024-01-02 02:00:00,31.28
2024-01-02 02:15:00,19.32
2024-01-02 02:30:00,12.19
2024-01-02 02:45:00,-0.93
2024-01-02 03:00:00,10.96
2024-01-02 03:15:00,7.47
2024-01-02 03:30:00,5.76
2024-01-02 03:45:00,-2.47
2024-01-02 04:00:00,1.41
2024-01-02 04:15:00,-2.59
2024-01-02 04:30:00,11.6
2024-01-02 04:45:00,27.06
2024-01-02 05:00:00,13.33
2024-01-02 05:15:00,27.4
2024-01-02 05:30:00,47.72
2024-01-02 05:45:00,50.1
2024-01-02 06:00:00,24.48
2024-01-02 06:15:00,26.12
2024-01-02 06:30:00,43.25
2024-01-02 06:45:00,53.25
2024-01-02 07:00:00,45.48
2024-01-02 07:15:00,57.26
2024-01-02 07:30:00,63.67
2024-01-02 07:45:00,68.59
2024-01-02 08:00:00,69.61
2024-01-02 08:15:00,80.18
2024-01-02 08:30:00,89.24
2024-01-02 08:45:00,74.27
2024-01-02 09:00:00,72.34
2024-01-02 09:15:00,70.11
2024-01-02 09:30:00,74.96
2024-01-02 09:45:00,69.32
2024-01-02 10:00:00,62.93
2024-01-02 10:15:00,73.18
2024-01-02 10:30:00,84.15
2024-01-02 10:45:00,88.88
2024-01-02 11:00:00,86.84
2024-01-02 11:15:00,86.46
2024-01-02 11:30:00,87.5
2024-01-02 11:45:00,85.9
2024-01-02 12:00:00,72.05
2024-01-02 12:15:00,72.83
2024-01-02 12:30:00,75.27
2024-01-02 12:45:00,77.71
2024-01-02 13:00:00,74.02
2024-01-02 13:15:00,77.71
2024-01-02 13:30:00,79.3
2024-01-02 13:45:00,80.26
2024-01-02 14:00:00,79.84
2024-01-02 14:15:00,75.62
2024-01-02 14:30:00,79.68
2024-01-02 14:45:00,80.32
2024-01-02 15:00:00,83.01
2024-01-02 15:15:00,76.78
2024-01-02 15:30:00,77.14
2024-01-02 15:45:00,84.65
2024-01-02 16:00:00,82.07
2024-01-02 16:15:00,78.44
2024-01-02 16:30:00,75.85
2024-01-02 16:45:00,67.27
2024-01-02 17:00:00,84.54
2024-01-02 17:15:00,72.36
2024-01-02 17:30:00,70.82
2024-01-02 17:45:00,64.8
2024-01-02 18:00:00,79.32
2024-01-02 18:15:00,61.28
