,prices
2024-05-13 00:00:00,26.84
2024-05-13 01:00:00,25.88
2024-05-13 02:00:00,25.71
2024-05-13 03:00:00,24.7
2024-05-13 04:00:00,27.0
2024-05-13 05:00:00,39.68
2024-05-13 06:00:00,79.97
2024-05-13 07:00:00,106.6
2024-05-13 08:00:00,78.47
2024-05-13 09:00:00,43.51
2024-05-13 10:00:00,10.38
2024-05-13 11:00:00,-0.97
2024-05-13 12:00:00,-2.69
2024-05-13 13:00:00,-2.27
2024-05-13 14:00:00,-2.46
2024-05-13 15:00:00,-0.73
2024-05-13 16:00:00,0.07
2024-05-13 17:00:00,55.01
2024-05-13 18:00:00,83.12
2024-05-13 19:00:00,146.18
2024-05-13 20:00:00,139.0
2024-05-13 21:00:00,88.7
2024-05-13 22:00:00,69.55
2024-05-13 23:00:00,52.7
2024-05-14 00:00:00,48.58
2024-05-14 01:00:00,43.43
2024-05-14 02:00:00,35.35
2024-05-14 03:00:00,34.08
2024-05-14 04:00:00,28.89
2024-05-14 05:00:00,52.35
2024-05-14 06:00:00,71.88
2024-05-14 07:00:00,77.33
2024-05-14 08:00:00,51.5
2024-05-14 09:00:00,5.64
2024-05-14 10:00:00,-2.33
2024-05-14 11:00:00,-11.12
2024-05-14 12:00:00,-36.33
2024-05-14 13:00:00,-42.95
2024-05-14 14:00:00,-39.66
2024-05-14 15:00:00,-19.86
2024-05-14 16:00:00,-2.93
2024-05-14 17:00:00,-0.04
2024-05-14 18:00:00,43.74
2024-05-14 19:00:00,83.9
2024-05-14 20:00:00,93.47
2024-05-14 21:00:00,76.41
2024-05-14 22:00:00,45.35
2024-05-14 23:00:00,27.71
2024-05-15 00:00:00,30.56
2024-05-15 01:00:00,32.34
2024-05-15 02:00:00,39.38
2024-05-15 03:00:00,41.8
2024-05-15 04:00:00,37.96
2024-05-15 05:00:00,52.87
2024-05-15 06:00:00,85.01
2024-05-15 07:00:00,88.16
2024-05-15 08:00:00,84.45
2024-05-15 09:00:00,48.42
2024-05-15 10:00:00,7.36
2024-05-15 11:00:00,-0.08
2024-05-15 12:00:00,-9.95
2024-05-15 13:00:00,-11.18
2024-05-15 14:00:00,-9.91
2024-05-15 15:00:00,-0.09
2024-05-15 16:00:00,1.73
2024-05-15 17:00:00,30.33
2024-05-15 18:00:00,73.66
2024-05-15 19:00:00,101.24
2024-05-15 20:00:00,110.2
2024-05-15 21:00:00,83.8
2024-05-15 22:00:00,63.64
2024-05-15 23:00:00,48.67
2024-05-16 00:00:00,51.14
2024-05-16 01:00:00,47.76
2024-05-16 02:00:00,39.62
2024-05-16 03:00:00,49.49
2024-05-16 04:00:00,44.44
2024-05-16 05:00:00,57.5
2024-05-16 06:00:00,81.35
2024-05-16 07:00:00,95.81
2024-05-16 08:00:00,82.98
2024-05-16 09:00:00,53.1
2024-05-16 10:00:00,11.5
2024-05-16 11:00:00,0.08
2024-05-16 12:00:00,-0.02
2024-05-16 13:00:00,-0.71
2024-05-16 14:00:00,-0.16
2024-05-16 15:00:00,0.01
2024-05-16 16:00:00,10.0
2024-05-16 17:00:00,44.95
2024-05-16 18:00:00,74.96
2024-05-16 19:00:00,96.06
2024-05-16 20:00:00,109.91
2024-05-16 21:00:00,87.89
2024-05-16 22:00:00,82.57
2024-05-16 23:00:00,69.18
2024-05-17 00:00:00,69.52
2024-05-17 01:00:00,63.2
2024-05-17 02:00:00,63.22
2024-05-17 03:00:00,62.48
2024-05-17 04:00:00,64.39
2024-05-17 05:00:00,63.24
2024-05-17 06:00:00,83.73
2024-05-17 07:00:00,99.94
2024-05-17 08:00:00,94.71
2024-05-17 09:00:00,73.9
2024-05-17 10:00:00,64.46
2024-05-17 11:00:00,57.41
2024-05-17 12:00:00,38.11
2024-05-17 13:00:00,28.24
2024-05-17 14:00:00,31.6
2024-05-17 15:00:00,37.5
2024-05-17 16:00:00,52.09
