,prices
2024-01-29 00:00:00,56.0
2024-01-29 01:00:00,49.97
2024-01-29 02:00:00,47.26
2024-01-29 03:00:00,48.12
2024-01-29 04:00:00,47.97
2024-01-29 05:00:00,51.58
2024-01-29 06:00:00,60.06
2024-01-29 07:00:00,80.0
2024-01-29 08:00:00,93.57
2024-01-29 09:00:00,99.17
2024-01-29 10:00:00,88.39
2024-01-29 11:00:00,78.9
2024-01-29 12:00:00,71.27
2024-01-29 13:00:00,70.24
2024-01-29 14:00:00,74.99
2024-01-29 15:00:00,82.55
2024-01-29 16:00:00,97.6
2024-01-29 17:00:00,108.43
2024-01-29 18:00:00,127.42
2024-01-29 19:00:00,117.3
2024-01-29 20:00:00,107.52
2024-01-29 21:00:00,91.98
2024-01-29 22:00:00,86.79
2024-01-29 23:00:00,83.42
2024-01-30 00:00:00,80.29
2024-01-30 01:00:00,71.94
2024-01-30 02:00:00,68.79
2024-01-30 03:00:00,69.37
2024-01-30 04:00:00,67.44
2024-01-30 05:00:00,67.18
2024-01-30 06:00:00,69.37
2024-01-30 07:00:00,78.43
2024-01-30 08:00:00,90.6
2024-01-30 09:00:00,95.93
2024-01-30 10:00:00,84.93
2024-01-30 11:00:00,77.15
2024-01-30 12:00:00,70.1
2024-01-30 13:00:00,68.1
2024-01-30 14:00:00,68.23
2024-01-30 15:00:00,71.93
2024-01-30 16:00:00,79.49
2024-01-30 17:00:00,82.36
2024-01-30 18:00:00,88.17
2024-01-30 19:00:00,99.23
2024-01-30 20:00:00,91.91
2024-01-30 21:00:00,86.04
2024-01-30 22:00:00,78.0
2024-01-30 23:00:00,75.01
2024-01-31 00:00:00,71.51
2024-01-31 01:00:00,71.73
2024-01-31 02:00:00,70.19
2024-01-31 03:00:00,70.89
2024-01-31 04:00:00,69.82
2024-01-31 05:00:00,69.14
2024-01-31 06:00:00,73.82
2024-01-31 07:00:00,84.85
2024-01-31 08:00:00,108.17
2024-01-31 09:00:00,119.93
2024-01-31 10:00:00,93.61
2024-01-31 11:00:00,82.98
2024-01-31 12:00:00,77.09
2024-01-31 13:00:00,74.91
2024-01-31 14:00:00,67.66
2024-01-31 15:00:00,66.69
2024-01-31 16:00:00,75.87
2024-01-31 17:00:00,81.62
2024-01-31 18:00:00,87.91
2024-01-31 19:00:00,86.78
2024-01-31 20:00:00,73.65
2024-01-31 21:00:00,66.03
2024-01-31 22:00:00,56.96
2024-01-31 23:00:00,54.08
2024-02-01 00:00:00,39.73
2024-02-01 01:00:00,47.06
2024-02-01 02:00:00,41.12
2024-02-01 03:00:00,42.16
2024-02-01 04:00:00,43.05
2024-02-01 05:00:00,46.91
2024-02-01 06:00:00,55.34
2024-02-01 07:00:00,69.01
2024-02-01 08:00:00,86.12
2024-02-01 09:00:00,92.5
2024-02-01 10:00:00,86.29
2024-02-01 11:00:00,83.67
2024-02-01 12:00:00,77.22
2024-02-01 13:00:00,67.6
2024-02-01 14:00:00,57.26
2024-02-01 15:00:00,68.74
2024-02-01 16:00:00,75.07
2024-02-01 17:00:00,77.05
2024-02-01 18:00:00,91.61
2024-02-01 19:00:00,94.67
2024-02-01 20:00:00,97.89
2024-02-01 21:00:00,89.97
2024-02-01 22:00:00,83.29
2024-02-01 23:00:00,81.88
2024-02-02 00:00:00,73.38
2024-02-02 01:00:00,64.27
2024-02-02 02:00:00,59.94
2024-02-02 03:00:00,58.0
2024-02-02 04:00:00,54.69
2024-02-02 05:00:00,53.23
2024-02-02 06:00:00,55.07
2024-02-02 07:00:00,66.94
2024-02-02 08:00:00,76.99
2024-02-02 09:00:00,89.32
2024-02-02 10:00:00,85.9
2024-02-02 11:00:00,80.77
2024-02-02 12:00:00,75.15
2024-02-02 13:00:00,64.8
2024-02-02 14:00:00,56.52
2024-02-02 15:00:00,54.83
2024-02-02 16:00:00,53.09
2024-02-02 17:00:00,52.73
2024-02-02 18:00:00,58.5
2024-02-02 19:00:00,68.97
2024-02-02 20:00:00,63.34
2024-02-02 21:00:00,55.06
2024-02-02 22:00:00,49.68
2024-02-02 23:00:00,46.03
2024-02-03 00:00:00,36.05
2024-02-03 01:00:00,24.74
2024-02-03 02:00:00,12.85
2024-02-03 03:00:00,6.73
2024-02-03 04:00:00,10.51
2024-02-03 05:00:00,8.53
2024-02-03 06:00:00,8.8
2024-02-03 07:00:00,16.48
2024-02-03 08:00:00,34.17
2024-02-03 09:00:00,45.99
2024-02-03 10:00:00,45.97
2024-02-03 11:00:00,35.62
2024-02-03 12:00:00,30.42
2024-02-03 13:00:00,30.58
2024-02-03 14:00:00,30.62
2024-02-03 15:00:00,40.74
2024-02-03 16:00:00,43.7
2024-02-03 17:00:00,49.36
2024-02-03 18:00:00,57.83
2024-02-03 19:00:00,68.57
2024-02-03 20:00:00,65.98
2024-02-03 21:00:00,54.37
2024-02-03 22:00:00,51.21
2024-02-03 23:00:00,50.81
2024-02-04 00:00:00,38.71
2024-02-04 01:00:00,35.3
2024-02-04 02:00:00,10.04
2024-02-04 03:00:00,3.23
2024-02-04 04:00:00,0.68
2024-02-04 05:00:00,0.0
2024-02-04 06:00:00,0.0
2024-02-04 07:00:00,0.0
2024-02-04 08:00:00,1.05
2024-02-04 09:00:00,8.87
2024-02-04 10:00:00,9.83
2024-02-04 11:00:00,10.87
2024-02-04 12:00:00,12.81
2024-02-04 13:00:00,13.82
2024-02-04 14:00:00,4.62
2024-02-04 15:00:00,9.72
2024-02-04 16:00:00,15.72
2024-02-04 17:00:00,18.43
2024-02-04 18:00:00,38.91
2024-02-04 19:00:00,46.01
2024-02-04 20:00:00,36.17
2024-02-04 21:00:00,29.05
2024-02-04 22:00:00,24.52
2024-02-04 23:00:00,24.44
