,prices
2024-07-22 00:00:00,122.1
2024-07-22 01:00:00,96.63
2024-07-22 02:00:00,86.88
2024-07-22 03:00:00,86.93
2024-07-22 04:00:00,86.14
2024-07-22 05:00:00,82.26
2024-07-22 06:00:00,119.48
2024-07-22 07:00:00,131.68
2024-07-22 08:00:00,126.05
2024-07-22 09:00:00,94.34
2024-07-22 10:00:00,75.14
2024-07-22 11:00:00,72.88
2024-07-22 12:00:00,66.22
2024-07-22 13:00:00,43.25
2024-07-22 14:00:00,19.41
2024-07-22 15:00:00,20.38
2024-07-22 16:00:00,48.46
2024-07-22 17:00:00,63.69
2024-07-22 18:00:00,81.15
2024-07-22 19:00:00,99.04
2024-07-22 20:00:00,186.24
2024-07-22 21:00:00,172.04
2024-07-22 22:00:00,111.04
2024-07-22 23:00:00,98.0
2024-07-23 00:00:00,83.39
2024-07-23 01:00:00,75.8
2024-07-23 02:00:00,76.7
2024-07-23 03:00:00,70.5
2024-07-23 04:00:00,73.83
2024-07-23 05:00:00,76.61
2024-07-23 06:00:00,106.73
2024-07-23 07:00:00,120.51
2024-07-23 08:00:00,115.21
2024-07-23 09:00:00,87.29
2024-07-23 10:00:00,68.87
2024-07-23 11:00:00,61.37
2024-07-23 12:00:00,43.42
2024-07-23 13:00:00,38.29
2024-07-23 14:00:00,36.01
2024-07-23 15:00:00,41.96
2024-07-23 16:00:00,64.86
2024-07-23 17:00:00,79.53
2024-07-23 18:00:00,79.92
2024-07-23 19:00:00,96.03
2024-07-23 20:00:00,118.52
2024-07-23 21:00:00,102.01
2024-07-23 22:00:00,99.23
2024-07-23 23:00:00,91.58
2024-07-24 00:00:00,83.55
2024-07-24 01:00:00,78.33
2024-07-24 02:00:00,72.56
2024-07-24 03:00:00,74.85
2024-07-24 04:00:00,74.99
2024-07-24 05:00:00,75.77
2024-07-24 06:00:00,103.07
2024-07-24 07:00:00,128.9
2024-07-24 08:00:00,99.19
2024-07-24 09:00:00,72.91
2024-07-24 10:00:00,54.9
2024-07-24 11:00:00,21.19
2024-07-24 12:00:00,1.58
2024-07-24 13:00:00,-0.15
2024-07-24 14:00:00,-2.06
2024-07-24 15:00:00,-1.96
2024-07-24 16:00:00,2.21
2024-07-24 17:00:00,39.27
2024-07-24 18:00:00,69.34
2024-07-24 19:00:00,95.9
2024-07-24 20:00:00,109.93
2024-07-24 21:00:00,121.82
2024-07-24 22:00:00,109.58
2024-07-24 23:00:00,95.03
2024-07-25 00:00:00,92.55
2024-07-25 01:00:00,87.2
2024-07-25 02:00:00,84.9
2024-07-25 03:00:00,79.92
2024-07-25 04:00:00,76.4
2024-07-25 05:00:00,92.53
2024-07-25 06:00:00,106.16
2024-07-25 07:00:00,116.86
2024-07-25 08:00:00,90.98
2024-07-25 09:00:00,71.98
2024-07-25 10:00:00,55.08
2024-07-25 11:00:00,36.95
2024-07-25 12:00:00,24.31
2024-07-25 13:00:00,17.36
2024-07-25 14:00:00,13.27
2024-07-25 15:00:00,26.2
2024-07-25 16:00:00,53.8
2024-07-25 17:00:00,80.0
2024-07-25 18:00:00,97.0
2024-07-25 19:00:00,126.93
2024-07-25 20:00:00,155.72
2024-07-25 21:00:00,131.61
2024-07-25 22:00:00,100.0
2024-07-25 23:00:00,84.95
2024-07-26 00:00:00,83.32
2024-07-26 01:00:00,73.9
2024-07-26 02:00:00,79.1
2024-07-26 03:00:00,81.61
2024-07-26 04:00:00,81.17
2024-07-26 05:00:00,83.21
2024-07-26 06:00:00,99.52
2024-07-26 07:00:00,116.56
2024-07-26 08:00:00,104.1
2024-07-26 09:00:00,96.83
2024-07-26 10:00:00,90.53
2024-07-26 11:00:00,81.35
2024-07-26 12:00:00,70.0
2024-07-26 13:00:00,63.12
2024-07-26 14:00:00,60.19
2024-07-26 15:00:00,68.14
2024-07-26 16:00:00,72.84
2024-07-26 17:00:00,88.52
2024-07-26 18:00:00,94.34
2024-07-26 19:00:00,107.79
2024-07-26 20:00:00,143.25
2024-07-26 21:00:00,139.0
2024-07-26 22:00:00,106.39
2024-07-26 23:00:00,97.91
2024-07-27 00:00:00,103.96
2024-07-27 01:00:00,103.41
2024-07-27 02:00:00,97.39
2024-07-27 03:00:00,95.25
2024-07-27 04:00:00,92.46
2024-07-27 05:00:00,90.51
2024-07-27 06:00:00,87.4
2024-07-27 07:00:00,82.75
2024-07-27 08:00:00,84.69
2024-07-27 09:00:00,67.67
2024-07-27 10:00:00,60.78
2024-07-27 11:00:00,39.9
2024-07-27 12:00:00,28.0
2024-07-27 13:00:00,17.8
2024-07-27 14:00:00,17.92
2024-07-27 15:00:00,35.02
2024-07-27 16:00:00,67.72
2024-07-27 17:00:00,94.73
2024-07-27 18:00:00,104.97
2024-07-27 19:00:00,116.69
2024-07-27 20:00:00,123.1
2024-07-27 21:00:00,121.82
2024-07-27 22:00:00,108.1
2024-07-27 23:00:00,97.94
2024-07-28 00:00:00,109.99
2024-07-28 01:00:00,95.11
2024-07-28 02:00:00,88.21
2024-07-28 03:00:00,81.53
2024-07-28 04:00:00,78.54
2024-07-28 05:00:00,79.26
2024-07-28 06:00:00,75.53
2024-07-28 07:00:00,72.61
2024-07-28 08:00:00,25.49
2024-07-28 09:00:00,4.92
2024-07-28 10:00:00,0.0
2024-07-28 11:00:00,-2.43
2024-07-28 12:00:00,-16.63
2024-07-28 13:00:00,-39.91
2024-07-28 14:00:00,-48.69
2024-07-28 15:00:00,-33.53
2024-07-28 16:00:00,-13.77
2024-07-28 17:00:00,-1.99
2024-07-28 18:00:00,40.87
2024-07-28 19:00:00,92.48
2024-07-28 20:00:00,111.85
2024-07-28 21:00:00,115.66
2024-07-28 22:00:00,104.95
2024-07-28 23:00:00,84.46
