,prices
2024-12-02 00:00:00,85.0
2024-12-02 01:00:00,74.77
2024-12-02 02:00:00,65.78
2024-12-02 03:00:00,61.17
2024-12-02 04:00:00,46.44
2024-12-02 05:00:00,50.21
2024-12-02 06:00:00,69.53
2024-12-02 07:00:00,92.08
2024-12-02 08:00:00,125.25
2024-12-02 09:00:00,125.2
2024-12-02 10:00:00,123.63
2024-12-02 11:00:00,121.27
2024-12-02 12:00:00,115.8
2024-12-02 13:00:00,115.09
2024-12-02 14:00:00,127.6
2024-12-02 15:00:00,136.74
2024-12-02 16:00:00,144.04
2024-12-02 17:00:00,144.75
2024-12-02 18:00:00,147.68
2024-12-02 19:00:00,147.9
2024-12-02 20:00:00,138.0
2024-12-02 21:00:00,120.01
2024-12-02 22:00:00,112.68
2024-12-02 23:00:00,111.72
2024-12-03 00:00:00,102.21
2024-12-03 01:00:00,110.73
2024-12-03 02:00:00,103.05
2024-12-03 03:00:00,96.28
2024-12-03 04:00:00,93.22
2024-12-03 05:00:00,100.48
2024-12-03 06:00:00,108.09
2024-12-03 07:00:00,121.76
2024-12-03 08:00:00,142.39
2024-12-03 09:00:00,154.62
2024-12-03 10:00:00,150.09
2024-12-03 11:00:00,141.37
2024-12-03 12:00:00,139.23
2024-12-03 13:00:00,135.62
2024-12-03 14:00:00,142.41
2024-12-03 15:00:00,150.02
2024-12-03 16:00:00,168.94
2024-12-03 17:00:00,205.18
2024-12-03 18:00:00,210.0
2024-12-03 19:00:00,197.88
2024-12-03 20:00:00,189.83
2024-12-03 21:00:00,170.04
2024-12-03 22:00:00,153.61
2024-12-03 23:00:00,142.08
2024-12-04 00:00:00,130.81
2024-12-04 01:00:00,120.99
2024-12-04 02:00:00,116.66
2024-12-04 03:00:00,112.79
2024-12-04 04:00:00,110.19
2024-12-04 05:00:00,112.26
2024-12-04 06:00:00,120.91
2024-12-04 07:00:00,145.2
2024-12-04 08:00:00,209.76
2024-12-04 09:00:00,276.66
2024-12-04 10:00:00,250.76
2024-12-04 11:00:00,212.21
2024-12-04 12:00:00,198.95
2024-12-04 13:00:00,192.25
2024-12-04 14:00:00,199.82
2024-12-04 15:00:00,218.44
2024-12-04 16:00:00,242.87
2024-12-04 17:00:00,267.35
2024-12-04 18:00:00,287.76
2024-12-04 19:00:00,230.22
2024-12-04 20:00:00,197.59
2024-12-04 21:00:00,165.68
2024-12-04 22:00:00,148.34
2024-12-04 23:00:00,128.33
2024-12-05 00:00:00,113.27
2024-12-05 01:00:00,114.77
2024-12-05 02:00:00,105.74
2024-12-05 03:00:00,103.27
2024-12-05 04:00:00,104.5
2024-12-05 05:00:00,103.27
2024-12-05 06:00:00,104.12
2024-12-05 07:00:00,135.88
2024-12-05 08:00:00,143.54
2024-12-05 09:00:00,141.29
2024-12-05 10:00:00,131.78
2024-12-05 11:00:00,124.92
2024-12-05 12:00:00,107.31
2024-12-05 13:00:00,102.67
2024-12-05 14:00:00,102.93
2024-12-05 15:00:00,102.89
2024-12-05 16:00:00,100.87
2024-12-05 17:00:00,101.5
2024-12-05 18:00:00,118.31
2024-12-05 19:00:00,112.16
2024-12-05 20:00:00,105.36
2024-12-05 21:00:00,87.13
2024-12-05 22:00:00,77.3
2024-12-05 23:00:00,74.17
2024-12-06 00:00:00,43.14
2024-12-06 01:00:00,10.64
2024-12-06 02:00:00,4.6
2024-12-06 03:00:00,3.87
2024-12-06 04:00:00,2.31
2024-12-06 05:00:00,2.99
2024-12-06 06:00:00,10.35
2024-12-06 07:00:00,63.49
2024-12-06 08:00:00,92.71
2024-12-06 09:00:00,110.17
2024-12-06 10:00:00,110.16
2024-12-06 11:00:00,104.08
2024-12-06 12:00:00,98.37
2024-12-06 13:00:00,91.9
2024-12-06 14:00:00,100.7
2024-12-06 15:00:00,109.0
2024-12-06 16:00:00,116.92
2024-12-06 17:00:00,131.55
2024-12-06 18:00:00,142.99
2024-12-06 19:00:00,151.07
2024-12-06 20:00:00,142.48
2024-12-06 21:00:00,130.0
2024-12-06 22:00:00,119.42
2024-12-06 23:00:00,121.08
2024-12-07 00:00:00,102.14
2024-12-07 01:00:00,86.65
2024-12-07 02:00:00,74.32
2024-12-07 03:00:00,68.0
2024-12-07 04:00:00,63.87
2024-12-07 05:00:00,58.09
2024-12-07 06:00:00,50.16
2024-12-07 07:00:00,39.46
2024-12-07 08:00:00,43.28
2024-12-07 09:00:00,58.06
2024-12-07 10:00:00,62.86
2024-12-07 11:00:00,64.92
