,prices
2024-07-29 00:00:00,79.59
2024-07-29 01:00:00,76.03
2024-07-29 02:00:00,72.25
2024-07-29 03:00:00,76.29
2024-07-29 04:00:00,80.0
2024-07-29 05:00:00,101.3
2024-07-29 06:00:00,135.0
2024-07-29 07:00:00,121.66
2024-07-29 08:00:00,98.46
2024-07-29 09:00:00,63.66
2024-07-29 10:00:00,10.58
2024-07-29 11:00:00,-0.16
2024-07-29 12:00:00,-0.19
2024-07-29 13:00:00,-1.7
2024-07-29 14:00:00,-0.98
2024-07-29 15:00:00,-0.07
2024-07-29 16:00:00,13.74
2024-07-29 17:00:00,64.48
2024-07-29 18:00:00,96.91
2024-07-29 19:00:00,123.24
2024-07-29 20:00:00,178.07
2024-07-29 21:00:00,132.72
2024-07-29 22:00:00,107.8
2024-07-29 23:00:00,90.2
2024-07-30 00:00:00,78.01
2024-07-30 01:00:00,75.77
2024-07-30 02:00:00,79.27
2024-07-30 03:00:00,83.73
2024-07-30 04:00:00,88.59
2024-07-30 05:00:00,101.85
2024-07-30 06:00:00,115.64
2024-07-30 07:00:00,113.48
2024-07-30 08:00:00,99.65
2024-07-30 09:00:00,67.78
2024-07-30 10:00:00,37.52
2024-07-30 11:00:00,7.84
2024-07-30 12:00:00,1.09
2024-07-30 13:00:00,-0.04
2024-07-30 14:00:00,-0.06
2024-07-30 15:00:00,13.25
2024-07-30 16:00:00,40.68
2024-07-30 17:00:00,78.1
2024-07-30 18:00:00,103.4
2024-07-30 19:00:00,129.44
2024-07-30 20:00:00,177.13
2024-07-30 21:00:00,147.67
2024-07-30 22:00:00,114.98
2024-07-30 23:00:00,99.04
2024-07-31 00:00:00,98.85
2024-07-31 01:00:00,87.29
2024-07-31 02:00:00,85.19
2024-07-31 03:00:00,82.9
2024-07-31 04:00:00,90.6
2024-07-31 05:00:00,102.39
2024-07-31 06:00:00,112.51
2024-07-31 07:00:00,110.14
2024-07-31 08:00:00,95.26
2024-07-31 09:00:00,79.02
2024-07-31 10:00:00,55.89
2024-07-31 11:00:00,33.46
2024-07-31 12:00:00,21.75
2024-07-31 13:00:00,11.36
2024-07-31 14:00:00,17.53
2024-07-31 15:00:00,31.74
2024-07-31 16:00:00,46.09
2024-07-31 17:00:00,75.85
2024-07-31 18:00:00,99.16
2024-07-31 19:00:00,115.39
2024-07-31 20:00:00,136.15
2024-07-31 21:00:00,116.19
2024-07-31 22:00:00,104.51
2024-07-31 23:00:00,96.49
2024-08-01 00:00:00,96.45
2024-08-01 01:00:00,92.4
2024-08-01 02:00:00,86.85
2024-08-01 03:00:00,84.11
2024-08-01 04:00:00,93.08
2024-08-01 05:00:00,112.71
2024-08-01 06:00:00,134.39
2024-08-01 07:00:00,109.52
2024-08-01 08:00:00,105.95
2024-08-01 09:00:00,90.1
2024-08-01 10:00:00,76.95
2024-08-01 11:00:00,67.64
2024-08-01 12:00:00,64.03
2024-08-01 13:00:00,60.38
2024-08-01 14:00:00,62.39
2024-08-01 15:00:00,71.22
2024-08-01 16:00:00,77.39
2024-08-01 17:00:00,95.16
2024-08-01 18:00:00,102.83
2024-08-01 19:00:00,112.5
2024-08-01 20:00:00,138.07
2024-08-01 21:00:00,124.03
2024-08-01 22:00:00,112.94
2024-08-01 23:00:00,105.7
2024-08-02 00:00:00,93.93
2024-08-02 01:00:00,89.17
2024-08-02 02:00:00,88.11
2024-08-02 03:00:00,82.97
2024-08-02 04:00:00,86.95
2024-08-02 05:00:00,96.61
2024-08-02 06:00:00,110.75
2024-08-02 07:00:00,121.38
2024-08-02 08:00:00,113.19
2024-08-02 09:00:00,104.42
2024-08-02 10:00:00,91.68
2024-08-02 11:00:00,77.69
2024-08-02 12:00:00,73.58
2024-08-02 13:00:00,61.94
2024-08-02 14:00:00,53.44
2024-08-02 15:00:00,50.58
2024-08-02 16:00:00,65.42
2024-08-02 17:00:00,77.69
2024-08-02 18:00:00,102.22
2024-08-02 19:00:00,128.49
2024-08-02 20:00:00,146.19
2024-08-02 21:00:00,121.66
2024-08-02 22:00:00,114.42
2024-08-02 23:00:00,99.01
2024-08-03 00:00:00,102.65
2024-08-03 01:00:00,99.14
2024-08-03 02:00:00,93.3
2024-08-03 03:00:00,89.1
2024-08-03 04:00:00,86.31
2024-08-03 05:00:00,94.88
2024-08-03 06:00:00,103.74
2024-08-03 07:00:00,95.51
2024-08-03 08:00:00,84.5
2024-08-03 09:00:00,66.06
2024-08-03 10:00:00,32.44
2024-08-03 11:00:00,20.36
2024-08-03 12:00:00,14.66
2024-08-03 13:00:00,6.41
2024-08-03 14:00:00,4.1
2024-08-03 15:00:00,12.38
2024-08-03 16:00:00,32.44
2024-08-03 17:00:00,73.61
2024-08-03 18:00:00,103.55
2024-08-03 19:00:00,110.02
2024-08-03 20:00:00,124.64
2024-08-03 21:00:00,136.64
2024-08-03 22:00:00,119.2
2024-08-03 23:00:00,101.3
2024-08-04 00:00:00,110.21
2024-08-04 01:00:00,101.34
2024-08-04 02:00:00,96.9
2024-08-04 03:00:00,92.68
2024-08-04 04:00:00,90.21
2024-08-04 05:00:00,83.0
2024-08-04 06:00:00,77.7
2024-08-04 07:00:00,73.2
2024-08-04 08:00:00,63.93
2024-08-04 09:00:00,28.11
2024-08-04 10:00:00,8.05
2024-08-04 11:00:00,2.05
2024-08-04 12:00:00,0.06
2024-08-04 13:00:00,-0.04
2024-08-04 14:00:00,-2.16
2024-08-04 15:00:00,-0.01
2024-08-04 16:00:00,1.0
