,prices
2024-03-18 00:00:00,65.91
2024-03-18 01:00:00,64.12
2024-03-18 02:00:00,57.14
2024-03-18 03:00:00,58.31
2024-03-18 04:00:00,59.38
2024-03-18 05:00:00,64.38
2024-03-18 06:00:00,70.8
2024-03-18 07:00:00,86.32
2024-03-18 08:00:00,97.87
2024-03-18 09:00:00,94.45
2024-03-18 10:00:00,82.8
2024-03-18 11:00:00,72.84
2024-03-18 12:00:00,66.64
2024-03-18 13:00:00,67.7
2024-03-18 14:00:00,68.3
2024-03-18 15:00:00,68.94
2024-03-18 16:00:00,73.4
2024-03-18 17:00:00,78.98
2024-03-18 18:00:00,107.65
2024-03-18 19:00:00,145.71
2024-03-18 20:00:00,126.53
2024-03-18 21:00:00,103.72
2024-03-18 22:00:00,81.2
2024-03-18 23:00:00,78.38
2024-03-19 00:00:00,74.45
2024-03-19 01:00:00,72.0
2024-03-19 02:00:00,71.24
2024-03-19 03:00:00,71.65
2024-03-19 04:00:00,71.55
2024-03-19 05:00:00,71.24
2024-03-19 06:00:00,71.01
2024-03-19 07:00:00,89.5
2024-03-19 08:00:00,110.78
2024-03-19 09:00:00,95.87
2024-03-19 10:00:00,72.02
2024-03-19 11:00:00,65.36
2024-03-19 12:00:00,58.82
2024-03-19 13:00:00,54.47
2024-03-19 14:00:00,56.72
2024-03-19 15:00:00,60.48
2024-03-19 16:00:00,70.05
2024-03-19 17:00:00,73.7
2024-03-19 18:00:00,103.95
2024-03-19 19:00:00,131.42
2024-03-19 20:00:00,128.96
2024-03-19 21:00:00,110.0
2024-03-19 22:00:00,89.02
2024-03-19 23:00:00,81.72
2024-03-20 00:00:00,76.1
2024-03-20 01:00:00,76.01
2024-03-20 02:00:00,73.4
2024-03-20 03:00:00,74.9
2024-03-20 04:00:00,75.7
2024-03-20 05:00:00,76.36
2024-03-20 06:00:00,80.9
2024-03-20 07:00:00,116.0
2024-03-20 08:00:00,116.24
2024-03-20 09:00:00,98.33
2024-03-20 10:00:00,70.63
2024-03-20 11:00:00,66.0
2024-03-20 12:00:00,65.39
2024-03-20 13:00:00,61.43
2024-03-20 14:00:00,63.95
2024-03-20 15:00:00,64.35
2024-03-20 16:00:00,70.78
2024-03-20 17:00:00,87.07
2024-03-20 18:00:00,119.68
2024-03-20 19:00:00,168.54
2024-03-20 20:00:00,159.05
2024-03-20 21:00:00,124.95
2024-03-20 22:00:00,106.52
2024-03-20 23:00:00,96.07
2024-03-21 00:00:00,79.98
2024-03-21 01:00:00,76.18
2024-03-21 02:00:00,73.37
2024-03-21 03:00:00,71.55
2024-03-21 04:00:00,71.32
2024-03-21 05:00:00,71.0
2024-03-21 06:00:00,73.51
2024-03-21 07:00:00,89.26
2024-03-21 08:00:00,98.21
2024-03-21 09:00:00,102.29
2024-03-21 10:00:00,80.0
2024-03-21 11:00:00,72.41
2024-03-21 12:00:00,68.03
2024-03-21 13:00:00,64.64
2024-03-21 14:00:00,59.96
2024-03-21 15:00:00,66.85
2024-03-21 16:00:00,66.28
2024-03-21 17:00:00,75.27
2024-03-21 18:00:00,100.9
2024-03-21 19:00:00,127.13
2024-03-21 20:00:00,122.85
2024-03-21 21:00:00,94.04
2024-03-21 22:00:00,79.6
2024-03-21 23:00:00,77.48
2024-03-22 00:00:00,71.23
2024-03-22 01:00:00,56.34
2024-03-22 02:00:00,52.24
2024-03-22 03:00:00,49.69
2024-03-22 04:00:00,51.83
2024-03-22 05:00:00,52.8
2024-03-22 06:00:00,59.89
2024-03-22 07:00:00,74.1
2024-03-22 08:00:00,67.39
2024-03-22 09:00:00,68.09
2024-03-22 10:00:00,56.32
2024-03-22 11:00:00,51.81
2024-03-22 12:00:00,49.85
2024-03-22 13:00:00,49.76
2024-03-22 14:00:00,51.49
2024-03-22 15:00:00,52.39
2024-03-22 16:00:00,59.97
2024-03-22 17:00:00,76.87
2024-03-22 18:00:00,88.98
2024-03-22 19:00:00,121.59
2024-03-22 20:00:00,118.71
2024-03-22 21:00:00,95.0
2024-03-22 22:00:00,82.25
2024-03-22 23:00:00,80.15
2024-03-23 00:00:00,77.47
2024-03-23 01:00:00,77.77
2024-03-23 02:00:00,72.47
2024-03-23 03:00:00,65.92
2024-03-23 04:00:00,63.98
2024-03-23 05:00:00,59.84
2024-03-23 06:00:00,61.44
2024-03-23 07:00:00,58.34
2024-03-23 08:00:00,52.82
2024-03-23 09:00:00,39.12
2024-03-23 10:00:00,13.2
2024-03-23 11:00:00,0.02
2024-03-23 12:00:00,-0.05
2024-03-23 13:00:00,-1.94
2024-03-23 14:00:00,-5.71
2024-03-23 15:00:00,-8.45
2024-03-23 16:00:00,-1.46
2024-03-23 17:00:00,0.07
2024-03-23 18:00:00,47.8
2024-03-23 19:00:00,70.09
2024-03-23 20:00:00,69.15
2024-03-23 21:00:00,52.94
2024-03-23 22:00:00,45.84
2024-03-23 23:00:00,40.28
2024-03-24 00:00:00,28.39
2024-03-24 01:00:00,32.1
2024-03-24 02:00:00,13.28
2024-03-24 03:00:00,10.13
2024-03-24 04:00:00,17.0
2024-03-24 05:00:00,19.92
