,prices
2024-03-11 00:00:00,52.05
2024-03-11 01:00:00,48.93
2024-03-11 02:00:00,49.33
2024-03-11 03:00:00,50.21
2024-03-11 04:00:00,49.28
2024-03-11 05:00:00,49.99
2024-03-11 06:00:00,56.3
2024-03-11 07:00:00,76.64
2024-03-11 08:00:00,82.6
2024-03-11 09:00:00,85.59
2024-03-11 10:00:00,80.45
2024-03-11 11:00:00,71.2
2024-03-11 12:00:00,65.03
2024-03-11 13:00:00,60.79
2024-03-11 14:00:00,66.25
2024-03-11 15:00:00,67.0
2024-03-11 16:00:00,73.47
2024-03-11 17:00:00,80.19
2024-03-11 18:00:00,91.39
2024-03-11 19:00:00,100.7
2024-03-11 20:00:00,108.01
2024-03-11 21:00:00,87.99
2024-03-11 22:00:00,76.71
2024-03-11 23:00:00,75.04
2024-03-12 00:00:00,67.08
2024-03-12 01:00:00,69.19
2024-03-12 02:00:00,65.56
2024-03-12 03:00:00,66.51
2024-03-12 04:00:00,65.2
2024-03-12 05:00:00,66.58
2024-03-12 06:00:00,71.37
2024-03-12 07:00:00,87.06
2024-03-12 08:00:00,96.55
2024-03-12 09:00:00,100.78
2024-03-12 10:00:00,93.81
2024-03-12 11:00:00,85.42
2024-03-12 12:00:00,80.68
2024-03-12 13:00:00,78.44
2024-03-12 14:00:00,78.26
2024-03-12 15:00:00,79.02
2024-03-12 16:00:00,86.34
2024-03-12 17:00:00,101.61
2024-03-12 18:00:00,113.06
2024-03-12 19:00:00,134.92
2024-03-12 20:00:00,124.57
2024-03-12 21:00:00,97.48
2024-03-12 22:00:00,83.63
2024-03-12 23:00:00,78.93
2024-03-13 00:00:00,70.33
2024-03-13 01:00:00,63.93
2024-03-13 02:00:00,62.3
2024-03-13 03:00:00,61.79
2024-03-13 04:00:00,61.37
2024-03-13 05:00:00,64.0
2024-03-13 06:00:00,66.8
2024-03-13 07:00:00,77.32
2024-03-13 08:00:00,88.27
2024-03-13 09:00:00,89.91
2024-03-13 10:00:00,77.71
2024-03-13 11:00:00,68.07
2024-03-13 12:00:00,64.85
2024-03-13 13:00:00,64.61
2024-03-13 14:00:00,64.83
2024-03-13 15:00:00,63.96
2024-03-13 16:00:00,67.84
2024-03-13 17:00:00,73.53
2024-03-13 18:00:00,89.91
2024-03-13 19:00:00,97.8
2024-03-13 20:00:00,94.36
2024-03-13 21:00:00,76.98
2024-03-13 22:00:00,66.82
2024-03-13 23:00:00,68.11
2024-03-14 00:00:00,63.88
2024-03-14 01:00:00,63.29
2024-03-14 02:00:00,56.9
2024-03-14 03:00:00,57.52
2024-03-14 04:00:00,57.0
2024-03-14 05:00:00,61.4
2024-03-14 06:00:00,64.07
2024-03-14 07:00:00,75.05
2024-03-14 08:00:00,88.06
2024-03-14 09:00:00,81.99
2024-03-14 10:00:00,65.71
2024-03-14 11:00:00,54.32
2024-03-14 12:00:00,52.37
2024-03-14 13:00:00,52.83
2024-03-14 14:00:00,49.16
2024-03-14 15:00:00,52.84
2024-03-14 16:00:00,58.91
2024-03-14 17:00:00,73.21
2024-03-14 18:00:00,91.04
2024-03-14 19:00:00,114.77
2024-03-14 20:00:00,91.04
2024-03-14 21:00:00,74.09
2024-03-14 22:00:00,62.63
2024-03-14 23:00:00,59.62
2024-03-15 00:00:00,51.66
2024-03-15 01:00:00,48.39
2024-03-15 02:00:00,46.58
2024-03-15 03:00:00,45.57
2024-03-15 04:00:00,43.95
2024-03-15 05:00:00,46.96
2024-03-15 06:00:00,49.35
2024-03-15 07:00:00,62.26
2024-03-15 08:00:00,69.53
2024-03-15 09:00:00,68.75
2024-03-15 10:00:00,53.8
2024-03-15 11:00:00,46.56
2024-03-15 12:00:00,39.27
2024-03-15 13:00:00,38.34
2024-03-15 14:00:00,36.87
2024-03-15 15:00:00,44.93
2024-03-15 16:00:00,51.55
2024-03-15 17:00:00,66.7
2024-03-15 18:00:00,86.92
2024-03-15 19:00:00,82.03
2024-03-15 20:00:00,87.99
2024-03-15 21:00:00,64.26
2024-03-15 22:00:00,55.36
2024-03-15 23:00:00,56.35
2024-03-16 00:00:00,49.33
2024-03-16 01:00:00,44.12
2024-03-16 02:00:00,42.01
2024-03-16 03:00:00,40.69
2024-03-16 04:00:00,38.88
2024-03-16 05:00:00,38.67
2024-03-16 06:00:00,40.34
2024-03-16 07:00:00,47.26
2024-03-16 08:00:00,51.31
2024-03-16 09:00:00,52.24
2024-03-16 10:00:00,47.01
2024-03-16 11:00:00,44.88
2024-03-16 12:00:00,41.62
2024-03-16 13:00:00,36.7
2024-03-16 14:00:00,21.02
2024-03-16 15:00:00,10.99
2024-03-16 16:00:00,31.01
2024-03-16 17:00:00,46.98
2024-03-16 18:00:00,72.08
2024-03-16 19:00:00,81.69
2024-03-16 20:00:00,87.31
2024-03-16 21:00:00,79.46
2024-03-16 22:00:00,72.99
2024-03-16 23:00:00,72.31
2024-03-17 00:00:00,67.1
2024-03-17 01:00:00,64.99
2024-03-17 02:00:00,60.49
2024-03-17 03:00:00,55.97
2024-03-17 04:00:00,58.75
2024-03-17 05:00:00,60.45
2024-03-17 06:00:00,60.49
2024-03-17 07:00:00,62.6
2024-03-17 08:00:00,56.6
2024-03-17 09:00:00,50.58
2024-03-17 10:00:00,47.15
2024-03-17 11:00:00,45.4
2024-03-17 12:00:00,45.91
2024-03-17 13:00:00,41.81
2024-03-17 14:00:00,40.15
2024-03-17 15:00:00,48.06
2024-03-17 16:00:00,56.12
2024-03-17 17:00:00,71.76
2024-03-17 18:00:00,85.44
2024-03-17 19:00:00,94.31
2024-03-17 20:00:00,88.29
2024-03-17 21:00:00,77.89
2024-03-17 22:00:00,72.33
2024-03-17 23:00:00,72.1
