,prices
2024-05-27 00:00:00,78.34
2024-05-27 01:00:00,75.07
2024-05-27 02:00:00,74.44
2024-05-27 03:00:00,74.43
2024-05-27 04:00:00,77.87
2024-05-27 05:00:00,84.04
2024-05-27 06:00:00,112.94
2024-05-27 07:00:00,128.74
2024-05-27 08:00:00,124.55
2024-05-27 09:00:00,107.22
2024-05-27 10:00:00,88.44
2024-05-27 11:00:00,86.26
2024-05-27 12:00:00,77.34
2024-05-27 13:00:00,74.46
2024-05-27 14:00:00,72.96
2024-05-27 15:00:00,77.78
2024-05-27 16:00:00,84.66
2024-05-27 17:00:00,111.04
2024-05-27 18:00:00,131.4
2024-05-27 19:00:00,186.68
2024-05-27 20:00:00,221.46
2024-05-27 21:00:00,169.86
2024-05-27 22:00:00,131.4
2024-05-27 23:00:00,113.78
2024-05-28 00:00:00,97.78
2024-05-28 01:00:00,90.5
2024-05-28 02:00:00,87.64
2024-05-28 03:00:00,85.22
2024-05-28 04:00:00,83.96
2024-05-28 05:00:00,88.04
2024-05-28 06:00:00,110.34
2024-05-28 07:00:00,120.1
2024-05-28 08:00:00,102.23
2024-05-28 09:00:00,85.43
2024-05-28 10:00:00,72.52
2024-05-28 11:00:00,69.17
2024-05-28 12:00:00,61.1
2024-05-28 13:00:00,55.25
2024-05-28 14:00:00,55.27
2024-05-28 15:00:00,65.66
2024-05-28 16:00:00,72.52
2024-05-28 17:00:00,85.8
2024-05-28 18:00:00,102.28
2024-05-28 19:00:00,130.05
2024-05-28 20:00:00,144.31
2024-05-28 21:00:00,124.0
2024-05-28 22:00:00,100.09
2024-05-28 23:00:00,88.78
2024-05-29 00:00:00,72.22
2024-05-29 01:00:00,57.54
2024-05-29 02:00:00,54.28
2024-05-29 03:00:00,50.59
2024-05-29 04:00:00,49.83
2024-05-29 05:00:00,45.91
2024-05-29 06:00:00,72.15
2024-05-29 07:00:00,86.45
2024-05-29 08:00:00,91.52
2024-05-29 09:00:00,69.11
2024-05-29 10:00:00,67.85
2024-05-29 11:00:00,62.12
2024-05-29 12:00:00,59.07
2024-05-29 13:00:00,62.25
2024-05-29 14:00:00,62.18
2024-05-29 15:00:00,69.49
2024-05-29 16:00:00,72.67
2024-05-29 17:00:00,89.23
2024-05-29 18:00:00,94.66
2024-05-29 19:00:00,111.44
2024-05-29 20:00:00,140.5
2024-05-29 21:00:00,143.26
2024-05-29 22:00:00,120.39
2024-05-29 23:00:00,95.53
2024-05-30 00:00:00,100.43
2024-05-30 01:00:00,96.2
2024-05-30 02:00:00,91.21
2024-05-30 03:00:00,93.63
2024-05-30 04:00:00,94.56
2024-05-30 05:00:00,100.79
2024-05-30 06:00:00,103.37
2024-05-30 07:00:00,106.67
2024-05-30 08:00:00,97.71
2024-05-30 09:00:00,93.9
2024-05-30 10:00:00,85.0
2024-05-30 11:00:00,80.0
2024-05-30 12:00:00,70.92
2024-05-30 13:00:00,62.97
2024-05-30 14:00:00,62.97
2024-05-30 15:00:00,67.69
2024-05-30 16:00:00,83.75
2024-05-30 17:00:00,90.13
2024-05-30 18:00:00,110.67
2024-05-30 19:00:00,135.23
2024-05-30 20:00:00,154.73
2024-05-30 21:00:00,143.45
2024-05-30 22:00:00,112.11
2024-05-30 23:00:00,100.71
2024-05-31 00:00:00,96.21
2024-05-31 01:00:00,80.71
2024-05-31 02:00:00,79.49
2024-05-31 03:00:00,73.71
2024-05-31 04:00:00,74.53
2024-05-31 05:00:00,90.06
2024-05-31 06:00:00,106.27
2024-05-31 07:00:00,109.11
2024-05-31 08:00:00,108.72
2024-05-31 09:00:00,102.36
2024-05-31 10:00:00,91.97
2024-05-31 11:00:00,82.02
2024-05-31 12:00:00,74.91
2024-05-31 13:00:00,68.5
2024-05-31 14:00:00,65.3
2024-05-31 15:00:00,66.94
2024-05-31 16:00:00,75.07
2024-05-31 17:00:00,84.1
2024-05-31 18:00:00,94.46
2024-05-31 19:00:00,107.94
2024-05-31 20:00:00,115.0
2024-05-31 21:00:00,107.91
2024-05-31 22:00:00,101.74
2024-05-31 23:00:00,84.18
2024-06-01 00:00:00,88.58
2024-06-01 01:00:00,88.82
2024-06-01 02:00:00,79.66
2024-06-01 03:00:00,72.14
2024-06-01 04:00:00,71.87
2024-06-01 05:00:00,71.83
2024-06-01 06:00:00,75.2
2024-06-01 07:00:00,74.4
2024-06-01 08:00:00,72.49
2024-06-01 09:00:00,61.35
2024-06-01 10:00:00,47.16
2024-06-01 11:00:00,41.86
2024-06-01 12:00:00,21.21
2024-06-01 13:00:00,7.44
2024-06-01 14:00:00,2.92
2024-06-01 15:00:00,5.8
2024-06-01 16:00:00,13.0
2024-06-01 17:00:00,52.08
2024-06-01 18:00:00,67.5
2024-06-01 19:00:00,81.9
2024-06-01 20:00:00,85.86
2024-06-01 21:00:00,81.76
2024-06-01 22:00:00,84.48
2024-06-01 23:00:00,65.39
2024-06-02 00:00:00,35.71
2024-06-02 01:00:00,31.12
2024-06-02 02:00:00,15.85
2024-06-02 03:00:00,7.22
2024-06-02 04:00:00,8.96
2024-06-02 05:00:00,5.13
2024-06-02 06:00:00,4.91
2024-06-02 07:00:00,4.11
2024-06-02 08:00:00,0.97
2024-06-02 09:00:00,0.0
2024-06-02 10:00:00,1.56
2024-06-02 11:00:00,0.77
2024-06-02 12:00:00,-0.1
2024-06-02 13:00:00,-4.01
2024-06-02 14:00:00,-15.93
2024-06-02 15:00:00,-19.58
2024-06-02 16:00:00,-8.98
2024-06-02 17:00:00,-1.27
2024-06-02 18:00:00,13.95
2024-06-02 19:00:00,67.23
2024-06-02 20:00:00,94.99
2024-06-02 21:00:00,106.93
2024-06-02 22:00:00,109.01
2024-06-02 23:00:00,99.16
