,prices
2024-07-15 00:00:00,79.35
2024-07-15 01:00:00,66.24
2024-07-15 02:00:00,58.17
2024-07-15 03:00:00,63.03
2024-07-15 04:00:00,67.82
2024-07-15 05:00:00,80.07
2024-07-15 06:00:00,120.0
2024-07-15 07:00:00,144.1
2024-07-15 08:00:00,89.77
2024-07-15 09:00:00,59.29
2024-07-15 10:00:00,35.52
2024-07-15 11:00:00,11.29
2024-07-15 12:00:00,0.07
2024-07-15 13:00:00,-0.01
2024-07-15 14:00:00,-0.07
2024-07-15 15:00:00,3.54
2024-07-15 16:00:00,44.29
2024-07-15 17:00:00,82.0
2024-07-15 18:00:00,114.35
2024-07-15 19:00:00,204.19
2024-07-15 20:00:00,224.96
2024-07-15 21:00:00,143.56
2024-07-15 22:00:00,92.48
2024-07-15 23:00:00,80.1
2024-07-16 00:00:00,76.59
2024-07-16 01:00:00,63.77
2024-07-16 02:00:00,52.49
2024-07-16 03:00:00,36.82
2024-07-16 04:00:00,38.16
2024-07-16 05:00:00,50.32
2024-07-16 06:00:00,80.35
2024-07-16 07:00:00,90.95
2024-07-16 08:00:00,84.31
2024-07-16 09:00:00,62.77
2024-07-16 10:00:00,21.49
2024-07-16 11:00:00,0.06
2024-07-16 12:00:00,-8.03
2024-07-16 13:00:00,-11.03
2024-07-16 14:00:00,-11.48
2024-07-16 15:00:00,-11.14
2024-07-16 16:00:00,-2.3
2024-07-16 17:00:00,22.12
2024-07-16 18:00:00,63.02
2024-07-16 19:00:00,81.99
2024-07-16 20:00:00,121.6
2024-07-16 21:00:00,114.28
2024-07-16 22:00:00,105.81
2024-07-16 23:00:00,84.31
2024-07-17 00:00:00,87.4
2024-07-17 01:00:00,72.98
2024-07-17 02:00:00,72.82
2024-07-17 03:00:00,70.53
2024-07-17 04:00:00,71.05
2024-07-17 05:00:00,77.44
2024-07-17 06:00:00,90.05
2024-07-17 07:00:00,99.76
2024-07-17 08:00:00,105.7
2024-07-17 09:00:00,77.14
2024-07-17 10:00:00,58.19
2024-07-17 11:00:00,41.75
2024-07-17 12:00:00,32.59
2024-07-17 13:00:00,21.85
2024-07-17 14:00:00,10.8
2024-07-17 15:00:00,13.47
2024-07-17 16:00:00,38.88
2024-07-17 17:00:00,61.68
2024-07-17 18:00:00,82.93
2024-07-17 19:00:00,106.89
2024-07-17 20:00:00,187.95
2024-07-17 21:00:00,143.47
2024-07-17 22:00:00,114.91
2024-07-17 23:00:00,92.81
2024-07-18 00:00:00,89.97
2024-07-18 01:00:00,80.29
2024-07-18 02:00:00,79.05
2024-07-18 03:00:00,78.54
2024-07-18 04:00:00,79.27
2024-07-18 05:00:00,92.1
2024-07-18 06:00:00,120.88
2024-07-18 07:00:00,107.27
2024-07-18 08:00:00,96.74
2024-07-18 09:00:00,79.22
2024-07-18 10:00:00,63.84
2024-07-18 11:00:00,47.13
2024-07-18 12:00:00,35.01
2024-07-18 13:00:00,33.96
2024-07-18 14:00:00,37.01
2024-07-18 15:00:00,48.78
2024-07-18 16:00:00,67.56
2024-07-18 17:00:00,85.48
2024-07-18 18:00:00,92.0
2024-07-18 19:00:00,130.18
2024-07-18 20:00:00,227.6
2024-07-18 21:00:00,184.46
2024-07-18 22:00:00,119.54
2024-07-18 23:00:00,101.92
2024-07-19 00:00:00,90.11
2024-07-19 01:00:00,80.45
2024-07-19 02:00:00,79.91
