,prices
2024-08-12 00:00:00,104.98
2024-08-12 01:00:00,94.62
2024-08-12 02:00:00,85.3
2024-08-12 03:00:00,86.6
2024-08-12 04:00:00,88.85
2024-08-12 05:00:00,114.54
2024-08-12 06:00:00,153.82
2024-08-12 07:00:00,153.82
2024-08-12 08:00:00,115.25
2024-08-12 09:00:00,69.9
2024-08-12 10:00:00,40.12
2024-08-12 11:00:00,16.04
2024-08-12 12:00:00,10.06
2024-08-12 13:00:00,6.98
2024-08-12 14:00:00,13.8
2024-08-12 15:00:00,27.87
2024-08-12 16:00:00,48.65
2024-08-12 17:00:00,89.29
2024-08-12 18:00:00,122.78
2024-08-12 19:00:00,206.02
2024-08-12 20:00:00,224.84
2024-08-12 21:00:00,128.34
2024-08-12 22:00:00,106.88
2024-08-12 23:00:00,100.05
2024-08-13 00:00:00,99.64
2024-08-13 01:00:00,87.91
2024-08-13 02:00:00,86.6
2024-08-13 03:00:00,84.79
2024-08-13 04:00:00,84.76
2024-08-13 05:00:00,101.37
2024-08-13 06:00:00,125.66
2024-08-13 07:00:00,133.71
2024-08-13 08:00:00,117.89
2024-08-13 09:00:00,87.81
2024-08-13 10:00:00,66.67
2024-08-13 11:00:00,55.94
2024-08-13 12:00:00,43.01
2024-08-13 13:00:00,40.37
2024-08-13 14:00:00,47.96
2024-08-13 15:00:00,64.15
2024-08-13 16:00:00,86.0
2024-08-13 17:00:00,105.0
2024-08-13 18:00:00,121.04
2024-08-13 19:00:00,202.72
2024-08-13 20:00:00,205.35
2024-08-13 21:00:00,128.9
2024-08-13 22:00:00,111.48
2024-08-13 23:00:00,104.99
2024-08-14 00:00:00,87.73
2024-08-14 01:00:00,90.79
2024-08-14 02:00:00,87.73
2024-08-14 03:00:00,93.4
2024-08-14 04:00:00,93.6
2024-08-14 05:00:00,107.1
2024-08-14 06:00:00,129.74
2024-08-14 07:00:00,136.62
2024-08-14 08:00:00,120.96
2024-08-14 09:00:00,108.79
2024-08-14 10:00:00,83.08
2024-08-14 11:00:00,77.24
2024-08-14 12:00:00,72.85
2024-08-14 13:00:00,75.38
2024-08-14 14:00:00,74.71
2024-08-14 15:00:00,81.74
2024-08-14 16:00:00,94.36
2024-08-14 17:00:00,105.59
2024-08-14 18:00:00,111.48
2024-08-14 19:00:00,161.41
2024-08-14 20:00:00,218.92
2024-08-14 21:00:00,148.7
2024-08-14 22:00:00,120.43
2024-08-14 23:00:00,109.95
2024-08-15 00:00:00,110.33
2024-08-15 01:00:00,109.66
2024-08-15 02:00:00,105.3
2024-08-15 03:00:00,94.74
2024-08-15 04:00:00,96.02
2024-08-15 05:00:00,108.91
2024-08-15 06:00:00,119.75
2024-08-15 07:00:00,120.71
2024-08-15 08:00:00,114.97
2024-08-15 09:00:00,91.12
2024-08-15 10:00:00,59.1
2024-08-15 11:00:00,19.94
2024-08-15 12:00:00,9.86
2024-08-15 13:00:00,0.01
2024-08-15 14:00:00,-0.04
2024-08-15 15:00:00,4.25
2024-08-15 16:00:00,33.41
2024-08-15 17:00:00,77.26
2024-08-15 18:00:00,119.93
2024-08-15 19:00:00,142.51
2024-08-15 20:00:00,160.3
2024-08-15 21:00:00,140.84
2024-08-15 22:00:00,118.87
2024-08-15 23:00:00,94.94
2024-08-16 00:00:00,108.97
2024-08-16 01:00:00,86.78
2024-08-16 02:00:00,85.58
2024-08-16 03:00:00,85.83
2024-08-16 04:00:00,87.76
2024-08-16 05:00:00,92.05
2024-08-16 06:00:00,128.42
2024-08-16 07:00:00,134.91
2024-08-16 08:00:00,124.83
2024-08-16 09:00:00,100.95
2024-08-16 10:00:00,76.15
2024-08-16 11:00:00,59.83
2024-08-16 12:00:00,50.68
2024-08-16 13:00:00,49.93
2024-08-16 14:00:00,47.57
2024-08-16 15:00:00,55.16
2024-08-16 16:00:00,82.67
2024-08-16 17:00:00,103.76
2024-08-16 18:00:00,134.92
2024-08-16 19:00:00,230.52
2024-08-16 20:00:00,243.12
2024-08-16 21:00:00,171.83
2024-08-16 22:00:00,134.54
2024-08-16 23:00:00,116.17
2024-08-17 00:00:00,107.11
2024-08-17 01:00:00,109.26
2024-08-17 02:00:00,103.13
2024-08-17 03:00:00,101.82
2024-08-17 04:00:00,110.59
2024-08-17 05:00:00,110.84
2024-08-17 06:00:00,106.7
2024-08-17 07:00:00,103.97
2024-08-17 08:00:00,103.43
2024-08-17 09:00:00,84.0
2024-08-17 10:00:00,69.49
2024-08-17 11:00:00,54.28
2024-08-17 12:00:00,46.93
2024-08-17 13:00:00,40.71
2024-08-17 14:00:00,39.43
2024-08-17 15:00:00,39.56
2024-08-17 16:00:00,59.09
2024-08-17 17:00:00,88.4
2024-08-17 18:00:00,119.68
2024-08-17 19:00:00,140.56
2024-08-17 20:00:00,149.18
2024-08-17 21:00:00,126.98
2024-08-17 22:00:00,116.7
2024-08-17 23:00:00,105.82
2024-08-18 00:00:00,111.82
2024-08-18 01:00:00,112.8
2024-08-18 02:00:00,106.17
2024-08-18 03:00:00,106.22
2024-08-18 04:00:00,104.75
2024-08-18 05:00:00,104.97
2024-08-18 06:00:00,99.53
2024-08-18 07:00:00,95.2
2024-08-18 08:00:00,88.2
2024-08-18 09:00:00,82.32
2024-08-18 10:00:00,72.12
2024-08-18 11:00:00,72.52
2024-08-18 12:00:00,66.03
2024-08-18 13:00:00,33.64
2024-08-18 14:00:00,17.72
2024-08-18 15:00:00,51.28
2024-08-18 16:00:00,69.86
2024-08-18 17:00:00,82.39
2024-08-18 18:00:00,93.85
2024-08-18 19:00:00,109.93
2024-08-18 20:00:00,115.68
