,prices
2024-03-25 00:00:00,62.97
2024-03-25 01:00:00,62.51
2024-03-25 02:00:00,62.29
2024-03-25 03:00:00,62.48
2024-03-25 04:00:00,64.51
2024-03-25 05:00:00,66.96
2024-03-25 06:00:00,77.14
2024-03-25 07:00:00,88.43
2024-03-25 08:00:00,113.87
2024-03-25 09:00:00,99.68
2024-03-25 10:00:00,77.43
2024-03-25 11:00:00,70.05
2024-03-25 12:00:00,63.66
2024-03-25 13:00:00,61.85
2024-03-25 14:00:00,63.22
2024-03-25 15:00:00,64.52
2024-03-25 16:00:00,73.97
2024-03-25 17:00:00,81.05
2024-03-25 18:00:00,111.88
2024-03-25 19:00:00,174.7
2024-03-25 20:00:00,149.75
2024-03-25 21:00:00,102.73
2024-03-25 22:00:00,82.39
2024-03-25 23:00:00,79.56
2024-03-26 00:00:00,74.74
2024-03-26 01:00:00,79.9
2024-03-26 02:00:00,73.3
2024-03-26 03:00:00,68.91
2024-03-26 04:00:00,67.98
2024-03-26 05:00:00,70.07
2024-03-26 06:00:00,72.28
2024-03-26 07:00:00,80.38
2024-03-26 08:00:00,79.2
2024-03-26 09:00:00,72.1
2024-03-26 10:00:00,62.0
2024-03-26 11:00:00,49.5
2024-03-26 12:00:00,37.03
2024-03-26 13:00:00,11.49
2024-03-26 14:00:00,27.35
2024-03-26 15:00:00,37.1
2024-03-26 16:00:00,51.93
2024-03-26 17:00:00,68.06
2024-03-26 18:00:00,81.05
2024-03-26 19:00:00,100.75
2024-03-26 20:00:00,100.3
2024-03-26 21:00:00,80.0
2024-03-26 22:00:00,77.05
2024-03-26 23:00:00,72.82
2024-03-27 00:00:00,66.92
2024-03-27 01:00:00,58.35
2024-03-27 02:00:00,57.09
2024-03-27 03:00:00,57.28
2024-03-27 04:00:00,57.79
2024-03-27 05:00:00,60.03
2024-03-27 06:00:00,72.38
2024-03-27 07:00:00,81.17
2024-03-27 08:00:00,82.78
2024-03-27 09:00:00,80.01
2024-03-27 10:00:00,68.12
2024-03-27 11:00:00,63.9
2024-03-27 12:00:00,57.13
2024-03-27 13:00:00,57.66
2024-03-27 14:00:00,60.0
2024-03-27 15:00:00,67.8
2024-03-27 16:00:00,78.93
2024-03-27 17:00:00,84.14
2024-03-27 18:00:00,100.53
2024-03-27 19:00:00,125.93
2024-03-27 20:00:00,118.94
2024-03-27 21:00:00,99.42
2024-03-27 22:00:00,84.25
2024-03-27 23:00:00,83.02
2024-03-28 00:00:00,74.47
2024-03-28 01:00:00,79.09
2024-03-28 02:00:00,72.6
2024-03-28 03:00:00,65.24
2024-03-28 04:00:00,64.41
2024-03-28 05:00:00,66.69
2024-03-28 06:00:00,71.6
2024-03-28 07:00:00,82.07
2024-03-28 08:00:00,83.19
2024-03-28 09:00:00,80.92
2024-03-28 10:00:00,63.24
2024-03-28 11:00:00,47.07
2024-03-28 12:00:00,37.0
2024-03-28 13:00:00,6.74
2024-03-28 14:00:00,0.05
2024-03-28 15:00:00,0.04
2024-03-28 16:00:00,9.82
2024-03-28 17:00:00,33.17
2024-03-28 18:00:00,52.72
2024-03-28 19:00:00,73.97
2024-03-28 20:00:00,70.33
2024-03-28 21:00:00,62.54
2024-03-28 22:00:00,51.83
2024-03-28 23:00:00,33.05
2024-03-29 00:00:00,25.0
2024-03-29 01:00:00,20.6
2024-03-29 02:00:00,18.83
2024-03-29 03:00:00,12.43
2024-03-29 04:00:00,10.24
2024-03-29 05:00:00,12.59
2024-03-29 06:00:00,14.32
2024-03-29 07:00:00,22.02
2024-03-29 08:00:00,22.39
2024-03-29 09:00:00,15.94
2024-03-29 10:00:00,13.28
2024-03-29 11:00:00,16.88
2024-03-29 12:00:00,18.83
2024-03-29 13:00:00,13.0
2024-03-29 14:00:00,9.86
2024-03-29 15:00:00,13.44
2024-03-29 16:00:00,21.58
2024-03-29 17:00:00,49.5
2024-03-29 18:00:00,79.93
2024-03-29 19:00:00,101.97
2024-03-29 20:00:00,105.45
2024-03-29 21:00:00,87.4
2024-03-29 22:00:00,79.93
2024-03-29 23:00:00,75.89
2024-03-30 00:00:00,70.0
2024-03-30 01:00:00,69.3
2024-03-30 02:00:00,58.16
2024-03-30 03:00:00,58.88
2024-03-30 04:00:00,58.95
2024-03-30 05:00:00,59.23
2024-03-30 06:00:00,65.05
2024-03-30 07:00:00,58.57
2024-03-30 08:00:00,47.79
2024-03-30 09:00:00,45.23
2024-03-30 10:00:00,43.38
2024-03-30 11:00:00,34.49
2024-03-30 12:00:00,23.21
2024-03-30 13:00:00,14.76
2024-03-30 14:00:00,6.85
2024-03-30 15:00:00,15.87
2024-03-30 16:00:00,34.2
2024-03-30 17:00:00,52.52
2024-03-30 18:00:00,77.75
2024-03-30 19:00:00,88.11
2024-03-30 20:00:00,83.53
2024-03-30 21:00:00,74.11
2024-03-30 22:00:00,71.47
2024-03-30 23:00:00,70.83
2024-03-31 00:00:00,65.74
2024-03-31 01:00:00,75.7
2024-03-31 02:00:00,66.71
2024-03-31 03:00:00,64.98
2024-03-31 04:00:00,60.48
2024-03-31 05:00:00,58.74
2024-03-31 06:00:00,64.46
2024-03-31 07:00:00,71.51
2024-03-31 08:00:00,65.03
2024-03-31 09:00:00,50.32
2024-03-31 10:00:00,41.03
2024-03-31 11:00:00,29.52
2024-03-31 12:00:00,19.85
2024-03-31 13:00:00,3.06
2024-03-31 14:00:00,1.03
2024-03-31 15:00:00,15.27
2024-03-31 16:00:00,41.07
2024-03-31 17:00:00,66.74
2024-03-31 18:00:00,89.32
2024-03-31 19:00:00,117.29
2024-03-31 20:00:00,83.72
2024-03-31 21:00:00,70.0
2024-03-31 22:00:00,64.51
2024-03-31 23:00:00,54.9
